age,avg_flight_price,total_mileage,total_flight_price,total_flights,avg_flight_distance,avg_flight_time,total_days_hotel,total_hotel_price,avg_hotel_price_daily,total_hotels,total_price
21,989.07,93847.58,176053.77,178,527.23,1.37,71,16014.92,225.56,27,192068.69
37,818.9,6103.78,9826.78,12,508.65,1.32,2,386.72,193.36,2,10213.5
48,906.92,134581.9,237613.52,262,513.67,1.34,97,20088.12,207.09,36,257701.63999999998
23,936.91,201417.6,372891.73,398,506.07,1.32,138,29974.11,217.2,60,402865.83999999997
44,957.39,206146.28,381042.58,398,517.96,1.35,144,31657.7,219.85,56,412700.28
47,1019.17,69545.52,130454.02,128,543.32,1.41,27,5896.05,218.37,13,136350.07
46,918.63,81890.24,150654.72,164,499.33,1.3,58,12455.94,214.76,23,163110.66
21,905.21,47501.36,94141.91,104,456.74,1.19,36,6563.26,182.31,14,100705.17
41,951.41,176350.82,332992.93,350,503.86,1.31,136,31862.35,234.28,52,364855.27999999997
35,955.69,120664.7,219809.22,230,524.63,1.36,91,17970.31,197.48,32,237779.53
36,894.22,63467.08,114460.3,128,495.84,1.29,45,9811.11,218.02,17,124271.41
61,923.8,190230.36,354737.81,384,495.39,1.29,134,29470.02,219.93,54,384207.83
53,926.9,67141.3,129765.88,140,479.58,1.25,64,13334.07,208.34,26,143099.95
36,945.45,185605.68,338470.33,358,518.45,1.35,136,29596.76,217.62,50,368067.09
37,933.18,40888.58,74654.27,80,511.11,1.33,22,4939.51,224.52,9,79593.78
56,924.27,151042.82,273582.51,296,510.28,1.33,115,22060.22,191.83,47,295642.73
47,931.65,158936.06,290675.53,312,509.41,1.32,113,24420.43,216.11,50,315095.96
25,857.43,35534.18,65164.67,76,467.56,1.21,20,4264.91,213.25,8,69429.58
65,921.27,136065.96,246901.04,268,507.71,1.32,90,18862.12,209.58,40,265763.16000000003
22,980.57,84965.7,162774.73,166,511.84,1.33,88,20149.0,228.97,31,182923.73
65,917.01,75962.2,141219.24,154,493.26,1.28,63,13277.72,210.76,25,154496.96
56,975.41,212361.62,388211.9,398,533.57,1.39,133,26541.16,199.56,53,414753.06
51,905.33,139628.96,253491.06,280,498.67,1.3,120,24703.28,205.86,47,278194.33999999997
35,909.26,149056.94,265503.05,292,510.47,1.33,94,22122.59,235.35,39,287625.64
60,962.34,45037.74,78912.18,82,549.24,1.43,35,6938.09,198.23,11,85850.26999999999
64,938.48,94821.74,174557.64,186,509.79,1.32,70,13544.95,193.5,27,188102.59000000003
49,948.34,94272.26,176392.13,186,506.84,1.32,64,12833.34,200.52,27,189225.47
62,945.51,80290.68,143718.03,152,528.23,1.37,59,12842.66,217.67,23,156560.69
46,924.32,9595.06,18486.31,20,479.75,1.25,9,1363.61,151.51,4,19849.920000000002
35,899.96,23595.66,46798.16,52,453.76,1.18,14,3659.45,261.39,6,50457.61
59,734.46,8023.76,17627.13,24,334.32,0.87,12,2191.88,182.66,4,19819.010000000002
40,851.78,37730.8,73253.22,86,438.73,1.14,30,5210.83,173.69,12,78464.05
44,958.0,191561.24,354461.1,370,517.73,1.35,132,29303.32,221.99,53,383764.42
21,927.87,159806.3,298775.37,322,496.29,1.29,88,20673.47,234.93,39,319448.83999999997
34,885.51,42426.74,81467.12,92,461.16,1.2,31,5075.28,163.72,12,86542.4
56,854.9,66397.42,128235.13,150,442.65,1.15,77,14072.46,182.76,28,142307.59
27,783.51,14099.32,21938.31,28,503.55,1.31,8,1442.85,180.36,3,23381.16
47,931.87,101265.6,191965.2,206,491.58,1.28,67,14803.39,220.95,27,206768.59000000003
48,927.08,143112.34,268852.64,290,493.49,1.28,116,24099.48,207.75,43,292952.12
42,926.74,182285.02,333625.3,360,506.35,1.32,121,25534.9,211.03,51,359160.2
62,928.04,175052.4,326668.38,352,497.31,1.29,139,30217.25,217.39,56,356885.63
24,903.69,79774.14,144590.62,160,498.59,1.3,81,16947.39,209.23,34,161538.01
21,905.5,93982.12,181099.47,200,469.91,1.22,82,16024.15,195.42,31,197123.62
54,978.26,124837.42,224999.84,230,542.77,1.41,68,11361.48,167.08,28,236361.32
42,990.76,149663.88,283356.03,286,523.3,1.36,141,32922.49,233.49,55,316278.52
28,888.33,138441.34,241626.54,272,508.98,1.32,106,22859.35,215.65,41,264485.89
46,1016.15,46791.02,85356.41,84,557.04,1.45,36,7397.29,205.48,14,92753.7
55,895.98,143043.14,274170.94,306,467.46,1.21,118,24578.46,208.29,49,298749.4
56,941.4,112153.2,210874.0,224,500.68,1.3,76,14889.46,195.91,31,225763.46
39,575.88,1230.86,2303.51,4,307.72,0.8,6,1145.94,190.99,2,3449.4500000000003
55,923.48,188568.28,349075.15,378,498.86,1.3,126,26383.05,209.39,52,375458.2
23,944.48,18982.8,32112.21,34,558.32,1.45,17,3657.06,215.12,7,35769.27
21,959.04,106341.36,189890.01,198,537.08,1.4,78,17764.39,227.75,29,207654.40000000002
38,967.43,128936.64,239923.87,248,519.91,1.35,112,24626.58,219.88,50,264550.45
39,891.16,184709.12,333292.82,374,493.87,1.28,138,27986.23,202.8,51,361279.05
32,903.55,44534.56,81319.48,90,494.83,1.29,30,6505.98,216.87,11,87825.45999999999
37,989.7,39286.66,73237.7,74,530.9,1.38,18,4702.7,261.26,7,77940.4
29,886.5,33708.52,63828.01,72,468.17,1.22,18,4145.7,230.32,8,67973.71
47,915.67,176390.46,324147.9,354,498.28,1.29,108,20143.35,186.51,53,344291.25
61,924.12,161896.1,301261.83,326,496.61,1.29,146,31358.79,214.79,58,332620.62
32,931.44,158528.12,296196.57,318,498.52,1.3,81,19729.52,243.57,35,315926.09
22,925.85,136485.56,259239.4,280,487.45,1.27,103,23102.88,224.3,47,282342.27999999997
41,921.03,185933.1,337098.23,366,508.01,1.32,149,30747.95,206.36,58,367846.18
51,928.49,131720.72,230265.94,248,531.13,1.38,111,25112.2,226.24,41,255378.14
52,948.72,66082.1,119538.3,126,524.46,1.36,44,9503.18,215.98,19,129041.48000000001
41,913.5,150357.16,274049.06,300,501.19,1.3,115,25971.28,225.84,45,300020.33999999997
62,929.21,129077.92,245311.09,264,488.93,1.27,95,20683.93,217.73,45,265995.02
22,908.99,133749.0,249062.64,274,488.14,1.27,81,16685.67,206.0,32,265748.31
57,930.05,152507.96,275294.32,296,515.23,1.34,112,24038.91,214.63,45,299333.23
49,944.97,24726.66,47248.65,50,494.53,1.29,21,4181.18,199.1,10,51429.83
22,888.71,92816.3,170632.38,192,483.42,1.26,72,15414.3,214.09,31,186046.68
46,908.42,140448.68,239822.47,264,532.0,1.38,94,19429.49,206.7,39,259251.96
24,877.84,40446.48,71982.57,82,493.25,1.28,12,2347.87,195.66,7,74330.44
65,998.95,127762.42,245740.7,246,519.36,1.35,103,20843.97,202.37,40,266584.67000000004
65,969.05,36263.92,69771.3,72,503.67,1.31,14,2801.72,200.12,6,72573.02
57,875.73,92029.58,173394.03,198,464.8,1.21,69,14625.77,211.97,26,188019.8
31,905.59,95061.86,177495.39,196,485.01,1.26,53,10605.92,200.11,21,188101.31000000003
65,888.33,83381.52,154568.98,174,479.2,1.25,59,14261.21,241.72,24,168830.19
45,1005.17,31774.38,60310.25,60,529.57,1.38,21,5424.6,258.31,8,65734.85
21,885.39,82185.52,143433.16,162,507.32,1.32,68,14748.0,216.88,27,158181.16
60,921.88,202801.72,361377.27,392,517.35,1.34,131,29376.44,224.25,53,390753.71
51,948.13,144318.38,267373.64,282,511.77,1.33,98,21132.22,215.63,39,288505.86
49,877.96,96213.0,177348.56,202,476.3,1.24,66,14095.15,213.56,27,191443.71
39,1018.63,3884.68,6111.75,6,647.45,1.68,8,2304.96,288.12,2,8416.71
30,890.73,18519.56,37410.85,42,440.94,1.15,11,2517.52,228.87,4,39928.369999999995
30,983.7,7167.28,11804.43,12,597.27,1.55,9,1281.76,142.42,3,13086.19
21,886.98,18515.84,33705.37,38,487.26,1.27,13,2763.18,212.55,6,36468.55
28,894.25,40811.34,69751.37,78,523.22,1.36,34,7486.91,220.2,12,77238.28
39,932.56,186352.84,348779.19,374,498.27,1.29,157,33710.56,214.72,61,382489.75
21,958.22,89570.22,155231.21,162,552.9,1.44,65,12948.85,199.21,23,168180.06
43,987.19,21681.24,43436.31,44,492.76,1.28,20,3823.87,191.19,8,47260.18
32,897.87,177690.78,325028.69,362,490.86,1.28,157,32468.14,206.8,65,357496.83
47,960.11,203915.92,372524.59,388,525.56,1.37,164,36214.81,220.82,61,408739.4
21,913.79,112729.72,213826.13,234,481.75,1.25,104,21810.71,209.72,37,235636.84
40,837.9,108945.16,202770.73,242,450.19,1.17,76,16552.79,217.8,30,219323.52000000002
47,899.46,91689.46,172695.74,192,477.55,1.24,105,20942.98,199.46,39,193638.72
23,928.9,31903.64,57591.97,62,514.57,1.34,8,1802.5,225.31,7,59394.47
41,952.55,28392.28,51437.93,54,525.78,1.37,18,3361.95,186.77,7,54799.88
36,919.08,150195.46,262856.01,286,525.16,1.36,85,19641.46,231.08,36,282497.47000000003
59,963.52,52307.6,96352.49,100,523.08,1.36,43,9175.84,213.39,18,105528.33
43,892.89,28338.74,53573.33,60,472.31,1.23,13,3332.11,256.32,7,56905.44
39,950.78,73194.34,135010.98,142,515.45,1.34,62,12336.35,198.97,26,147347.33000000002
32,938.28,139491.34,264594.74,282,494.65,1.29,96,20797.46,216.64,44,285392.2
31,929.78,184583.86,340299.97,366,504.33,1.31,166,33525.49,201.96,68,373825.45999999996
27,936.34,155911.1,284645.89,304,512.87,1.33,141,30001.01,212.77,54,314646.9
46,899.09,133639.18,260734.79,290,460.82,1.2,116,24472.47,210.97,43,285207.26
58,902.84,41949.58,79449.7,88,476.7,1.24,35,6139.9,175.43,14,85589.59999999999
24,905.15,145666.12,267924.46,296,492.12,1.28,122,26795.02,219.63,50,294719.48000000004
54,924.57,151876.4,286615.46,310,489.92,1.27,79,18415.41,233.11,37,305030.87
63,916.88,194659.38,344746.11,376,517.71,1.35,158,36663.99,232.05,60,381410.1
53,910.08,189346.82,353110.09,388,488.01,1.27,166,36506.46,219.92,62,389616.55000000005
38,974.49,124366.12,228030.76,234,531.48,1.38,114,27061.91,237.39,44,255092.67
47,886.37,25199.7,46091.1,52,484.61,1.26,28,5372.45,191.87,11,51463.549999999996
48,965.46,181738.34,341772.87,354,513.39,1.33,170,36763.83,216.26,63,378536.7
59,862.57,90619.82,169064.44,196,462.35,1.2,91,19038.94,209.22,33,188103.38
38,884.93,107910.96,203534.6,230,469.18,1.22,104,21829.38,209.9,39,225363.98
45,953.94,103141.16,192695.03,202,510.6,1.33,80,16567.25,207.09,32,209262.28
38,864.62,179781.54,319909.44,370,485.9,1.26,118,28535.28,241.82,55,348444.72
41,930.11,160403.4,299496.65,322,498.15,1.29,147,31649.89,215.31,54,331146.54000000004
54,895.6,46709.48,93142.49,104,449.13,1.17,41,9313.22,227.15,15,102455.71
56,973.05,68639.68,124550.2,128,536.25,1.39,52,10778.72,207.28,21,135328.91999999998
60,899.2,24007.98,37766.5,42,571.62,1.48,23,4605.35,200.23,10,42371.85
54,931.38,94056.68,163923.53,176,534.41,1.39,64,14526.48,226.98,22,178450.01
61,845.15,45851.94,82824.27,98,467.88,1.22,22,4910.86,223.22,10,87735.13
47,951.14,187048.64,344314.28,362,516.71,1.34,171,36965.52,216.17,64,381279.80000000005
47,927.84,110171.58,207837.11,224,491.84,1.28,98,21832.88,222.78,37,229669.99
50,959.23,187560.84,351079.34,366,512.46,1.33,138,29515.76,213.88,53,380595.10000000003
65,871.18,4808.66,10454.11,12,400.72,1.04,5,1301.26,260.25,2,11755.37
25,882.81,93971.42,180093.62,204,460.64,1.2,83,17969.62,216.5,29,198063.24
48,939.27,67609.22,127740.26,136,497.13,1.29,49,10079.49,205.7,20,137819.75
28,925.65,113260.78,205493.27,222,510.18,1.33,70,14952.47,213.61,27,220445.74
54,978.75,144000.86,258389.36,264,545.46,1.42,98,21136.64,215.68,41,279526.0
45,926.56,87144.58,157514.93,170,512.62,1.33,68,14656.9,215.54,28,172171.83
53,854.43,15225.68,30759.31,36,422.94,1.1,11,1886.28,171.48,5,32645.59
60,901.14,110911.36,205460.64,228,486.45,1.26,89,19550.3,219.67,37,225010.94
27,948.14,28427.96,53095.61,56,507.64,1.32,28,6183.39,220.84,11,59279.0
31,962.99,115837.72,204153.86,212,546.4,1.42,78,19107.56,244.97,31,223261.41999999998
65,909.67,128970.44,245611.05,270,477.67,1.24,80,16366.81,204.59,36,261977.86
39,960.63,31737.54,57637.54,60,528.96,1.37,26,5365.77,206.38,11,63003.31
39,971.58,50978.02,91328.36,94,542.32,1.41,27,5199.71,192.58,12,96528.07
37,902.34,39196.76,72187.09,80,489.96,1.27,35,7552.03,215.77,15,79739.12
53,961.7,52164.1,92323.13,96,543.38,1.41,27,5218.65,193.28,9,97541.78
30,907.73,189193.7,348566.55,384,492.69,1.28,117,26497.36,226.47,47,375063.91
65,908.67,193228.34,345294.98,380,508.5,1.32,144,33629.37,233.54,57,378924.35
55,851.71,23344.36,44288.77,52,448.93,1.17,15,2591.8,172.79,9,46880.57
57,953.71,186091.7,337611.91,354,525.68,1.37,128,26867.56,209.9,47,364479.47
37,916.32,156508.6,295055.47,322,486.05,1.26,151,31553.71,208.96,59,326609.18
39,875.37,15338.4,29762.6,34,451.13,1.17,19,3970.38,208.97,7,33732.979999999996
40,919.34,95367.26,176513.69,192,496.7,1.29,58,12072.03,208.14,22,188585.72
42,934.18,157500.44,291463.27,312,504.81,1.31,127,24990.34,196.77,51,316453.61000000004
65,955.99,104952.52,193110.76,202,519.57,1.35,73,17782.32,243.59,28,210893.08000000002
46,947.87,28480.68,51185.12,54,527.42,1.37,20,4599.31,229.97,8,55784.43
26,905.44,174768.86,322335.37,356,490.92,1.28,149,32342.27,217.06,55,354677.64
53,895.38,124748.34,232798.5,260,479.8,1.25,109,23013.66,211.13,40,255812.16
42,908.16,145811.78,259734.84,286,509.83,1.32,119,26474.5,222.47,51,286209.33999999997
52,985.16,208198.82,382240.6,388,536.59,1.39,165,36740.57,222.67,64,418981.17
26,893.15,31715.6,58947.84,66,480.54,1.25,20,3790.59,189.53,9,62738.42999999999
43,953.56,58657.04,104891.62,110,533.25,1.39,32,6570.56,205.33,13,111462.18
62,879.66,120718.24,225193.83,256,471.56,1.23,107,23836.33,222.77,44,249030.15999999997
21,964.91,114405.3,214210.73,222,515.34,1.34,90,17882.57,198.7,34,232093.30000000002
59,978.81,62841.68,121372.33,124,506.79,1.32,59,13326.62,225.87,22,134698.95
35,942.2,43880.56,75375.64,80,548.51,1.42,26,4747.52,182.6,10,80123.16
62,934.08,27341.1,48572.25,52,525.79,1.37,18,4203.22,233.51,9,52775.47
65,953.09,143173.6,261147.81,274,522.53,1.36,113,24585.63,217.57,46,285733.44
65,1028.06,14116.0,28785.58,28,504.14,1.31,11,3238.26,294.39,5,32023.840000000004
53,911.38,166305.18,315336.25,346,480.65,1.25,148,32194.21,217.53,58,347530.46
